shortest to longest half-life,isotopeName,Symbol,massNumber,atomicMassSpecific,percentAbundance,elementName,atomicNumber,neutrons,stable,halfLife-years,halfLife-power10years,halfLife-days,halfLife-hours,halfLife-minutes,halfLife-seconds,halfLife-power10seconds
,hydrogen-1,H,1,1.008,0.99989,hydrogen,1,,Stable,,,,,,,
,hydrogen-2,H,2,2.014,0.00012,hydrogen,1,,Stable,,,,,,,
145,hydrogen-3,H,3,3.016,,hydrogen,1,,,12.32,0,,,,,
3,hydrogen-4,H,4,4.026,,hydrogen,1,,,,,,,,139,-24
2,hydrogen-5,H,5,5.035,,hydrogen,1,,,,,,,,80,-24
5,hydrogen-6,H,6,6.044,,hydrogen,1,,,,,,,,290,-24
1,hydrogen-7,H,7,4.053,,hydrogen,1,,,,,,,,23,-24
,helium-3,He,3,3.016,0.00000,helium,2,,Stable,,,,,,,
,helium-4,He,4,4.003,1.00000,helium,2,,Stable,,,,,,,
13,helium-10,He,10,10.052,,helium,2,,,,,,,,1.52,-21
12,helium-5,He,5,5.012,,helium,2,,,,,,,,760,-24
76,helium-6,He,6,6.019,,helium,2,,,,,,,,806.7,-3
16,helium-7,He,7,7.028,,helium,2,,,,,,,,3.04,-21
67,helium-8,He,8,8.034,,helium,2,,,,,,,,119,-3
18,helium-9,He,9,9.044,,helium,2,,,,,,,,7,-21
,lithium-6,li,6,6.015,0.07590,lithium,3,,Stable,,,,,,,
,lithium-7,li,7,7.013,0.92410,lithium,3,,Stable,,,,,,,
14,lithium-10,Li,10,,,lithium,3,,,,,,,,2,-21
51,lithium-11,Li,11,,,lithium,3,,,,,,,,8.59,-3
24,lithium-12,Li,12,,,lithium,3,,,,,,,,10,-9
7,lithium-4,Li,4,,,lithium,3,,,,,,,,325,-24
6,lithium-5,Li,5,,,lithium,3,,,,,,,,324,-24
77,lithium-8,Li,8,,,lithium,3,,,,,,,,839.9,-3
70,lithium-9,Li,9,,,lithium,3,,,,,,,,178.3,-3
,beryllium-9,Be,9,9.012,1.00000,Beryllium,,,stable,,,,,,,
198,beryllium-10,Be,10,,,Beryllium,4,,,1.36,6,,,,,
86,beryllium-11,Be,11,,,Beryllium,4,,,,,,,,13.81,0
60,beryllium-12,Be,12,,,Beryllium,4,,,,,,,,21.49,-3
23,beryllium-13,Be,13,,,Beryllium,4,,,,,,,,500,-12
83,beryllium-14,Be,14,,,Beryllium,4,,,,,,,,4.84,0
27,beryllium-15,Be,15,,,Beryllium,4,,,,,,,,200,-9
28,beryllium-16,Be,16,,,Beryllium,4,,,,,,,,200,-9
